dataset,model,layer,checkpoint,seed,gauge_seed,trial,gauge_type,condition_number,d_out,d_in,R,r,normalized_rank,alpha,spectrum,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,compact_path_no_dense_intermediate,method,broadcast_error,excess_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,15,9.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,1.8394154294842033e-03,4.1199682554449168e-18,True,RBLA prefix,1.4571581011915902e-01,1.4387639468967481e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,15,9.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,1.8394154294842033e-03,4.1199682554449168e-18,True,SP+ (compact QR),1.8394154294841991e-03,-4.1199682554449168e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,16,1.0000000000000000e+00,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,4.5415612934589190e-16,5.8703836351662642e-16,True,RBLA prefix,3.3198840261258124e-16,-1.2216772673331066e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10090,48,orthogonal,1.0000000000000007e+00,128,96,16,16,1.0000000000000000e+00,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.2784766233828891e-16,4.5415612934589190e-16,5.8703836351662642e-16,True,SP+ (compact QR),1.0411944928625183e-15,5.8703836351662642e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,1,6.2500000000000000e-02,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,6.7031891203779426e-01,0.0000000000000000e+00,True,RBLA prefix,9.3100682390475020e-01,2.6068791186695595e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,1,6.2500000000000000e-02,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,6.7031891203779426e-01,0.0000000000000000e+00,True,SP+ (compact QR),6.7031891203779426e-01,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,2,1.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,4.4932651224512632e-01,1.6653345369377348e-16,True,RBLA prefix,9.2099438361758623e-01,4.7166787137245991e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,2,1.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,4.4932651224512632e-01,1.6653345369377348e-16,True,SP+ (compact QR),4.4932651224512615e-01,-1.6653345369377348e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,3,1.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,3.0119004459235926e-01,1.1102230246251565e-16,True,RBLA prefix,8.1287879099680083e-01,5.1168874640444151e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,3,1.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,3.0119004459235926e-01,1.1102230246251565e-16,True,SP+ (compact QR),3.0119004459235915e-01,-1.1102230246251565e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,4,2.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,2.0188995946717531e-01,2.7755575615628914e-17,True,RBLA prefix,8.0133920468368935e-01,5.9944924521651410e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,4,2.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,2.0188995946717531e-01,2.7755575615628914e-17,True,SP+ (compact QR),2.0188995946717528e-01,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,5,3.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.3532526990179386e-01,2.7755575615628914e-17,True,RBLA prefix,7.8410032614491210e-01,6.4877505624311826e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,5,3.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.3532526990179386e-01,2.7755575615628914e-17,True,SP+ (compact QR),1.3532526990179383e-01,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,6,3.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,9.0702860976645955e-02,2.7755575615628914e-17,True,RBLA prefix,7.0000838412755539e-01,6.0930552315090947e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,6,3.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,9.0702860976645955e-02,2.7755575615628914e-17,True,SP+ (compact QR),9.0702860976645927e-02,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,7,4.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,6.0787442332096181e-02,2.7755575615628914e-17,True,RBLA prefix,6.6267838466374085e-01,6.0189094233164464e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,7,4.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,6.0787442332096181e-02,2.7755575615628914e-17,True,SP+ (compact QR),6.0787442332096153e-02,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,8,5.0000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,4.0728381752463766e-02,2.7755575615628914e-17,True,RBLA prefix,6.1226880608102530e-01,5.7154042432856156e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,8,5.0000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,4.0728381752463766e-02,2.7755575615628914e-17,True,SP+ (compact QR),4.0728381752463738e-02,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,9,5.6250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,2.7273193603648049e-02,0.0000000000000000e+00,True,RBLA prefix,5.8185774847962335e-01,5.5458455487597536e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,9,5.6250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,2.7273193603648049e-02,0.0000000000000000e+00,True,SP+ (compact QR),2.7273193603648049e-02,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,10,6.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.8240141826399464e-02,0.0000000000000000e+00,True,RBLA prefix,5.0542568121533615e-01,4.8718553938893672e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,10,6.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.8240141826399464e-02,0.0000000000000000e+00,True,SP+ (compact QR),1.8240141826399464e-02,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,11,6.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.2164403439644761e-02,3.4694469519536142e-18,True,RBLA prefix,4.7560852897361044e-01,4.6344412553396569e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,11,6.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.2164403439644761e-02,3.4694469519536142e-18,True,SP+ (compact QR),1.2164403439644764e-02,3.4694469519536142e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,12,7.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,8.0602818363308300e-03,1.7347234759768071e-18,True,RBLA prefix,4.5113745535897309e-01,4.4307717352264225e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,12,7.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,8.0602818363308300e-03,1.7347234759768071e-18,True,SP+ (compact QR),8.0602818363308317e-03,1.7347234759768071e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,13,8.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,5.2603979727656102e-03,2.6020852139652106e-18,True,RBLA prefix,3.9552274129120468e-01,3.9026234331843906e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,13,8.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,5.2603979727656102e-03,2.6020852139652106e-18,True,SP+ (compact QR),5.2603979727656076e-03,-2.6020852139652106e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,14,8.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,3.3035516680093259e-03,1.3010426069826053e-18,True,RBLA prefix,3.1724970792816815e-01,3.1394615626015882e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,14,8.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,3.3035516680093259e-03,1.3010426069826053e-18,True,SP+ (compact QR),3.3035516680093246e-03,-1.3010426069826053e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,15,9.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.8394154294842033e-03,2.1684043449710089e-18,True,RBLA prefix,2.8917158101058055e-01,2.8733216558109637e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,15,9.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,1.8394154294842033e-03,2.1684043449710089e-18,True,SP+ (compact QR),1.8394154294842011e-03,-2.1684043449710089e-18,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,16,1.0000000000000000e+00,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,4.5415612934589190e-16,8.2298530180312663e-16,True,RBLA prefix,3.7540874874112260e-16,-7.8747380604769293e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10091,49,orthogonal,1.0000000000000009e+00,128,96,16,16,1.0000000000000000e+00,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7322121892976583e-16,4.5415612934589190e-16,8.2298530180312663e-16,True,SP+ (compact QR),1.2771414311490185e-15,8.2298530180312663e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,1,6.2500000000000000e-02,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,6.7031891203779426e-01,0.0000000000000000e+00,True,RBLA prefix,9.8786889787558663e-01,3.1754998583779237e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,1,6.2500000000000000e-02,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,6.7031891203779426e-01,0.0000000000000000e+00,True,SP+ (compact QR),6.7031891203779426e-01,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,2,1.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,4.4932651224512632e-01,1.6653345369377348e-16,True,RBLA prefix,9.4868746268774973e-01,4.9936095044262341e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,2,1.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,4.4932651224512632e-01,1.6653345369377348e-16,True,SP+ (compact QR),4.4932651224512615e-01,-1.6653345369377348e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,3,1.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,3.0119004459235926e-01,1.6653345369377348e-16,True,RBLA prefix,9.1345949538213145e-01,6.1226945078977213e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,3,1.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,3.0119004459235926e-01,1.6653345369377348e-16,True,SP+ (compact QR),3.0119004459235910e-01,-1.6653345369377348e-16,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,4,2.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,2.0188995946717531e-01,0.0000000000000000e+00,True,RBLA prefix,8.8617018921465207e-01,6.8428022974747682e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,4,2.5000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,2.0188995946717531e-01,0.0000000000000000e+00,True,SP+ (compact QR),2.0188995946717531e-01,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,5,3.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,1.3532526990179386e-01,5.5511151231257827e-17,True,RBLA prefix,8.7134438328877051e-01,7.3601911338697668e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,5,3.1250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,1.3532526990179386e-01,5.5511151231257827e-17,True,SP+ (compact QR),1.3532526990179380e-01,-5.5511151231257827e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,6,3.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,9.0702860976645955e-02,2.7755575615628914e-17,True,RBLA prefix,8.5565866828684733e-01,7.6495580731020141e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,6,3.7500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,9.0702860976645955e-02,2.7755575615628914e-17,True,SP+ (compact QR),9.0702860976645927e-02,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,7,4.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,6.0787442332096181e-02,2.0816681711721685e-17,True,RBLA prefix,7.0534753692818730e-01,6.4456009459609109e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,7,4.3750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,6.0787442332096181e-02,2.0816681711721685e-17,True,SP+ (compact QR),6.0787442332096160e-02,-2.0816681711721685e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,8,5.0000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,4.0728381752463766e-02,3.4694469519536142e-17,True,RBLA prefix,6.8771666548782440e-01,6.4698828373536066e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,8,5.0000000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,4.0728381752463766e-02,3.4694469519536142e-17,True,SP+ (compact QR),4.0728381752463731e-02,-3.4694469519536142e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,9,5.6250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,2.7273193603648049e-02,0.0000000000000000e+00,True,RBLA prefix,6.0648763974259845e-01,5.7921444613895035e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,9,5.6250000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,2.7273193603648049e-02,0.0000000000000000e+00,True,SP+ (compact QR),2.7273193603648049e-02,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,10,6.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,1.8240141826399464e-02,0.0000000000000000e+00,True,RBLA prefix,5.9395670686254687e-01,5.7571656503614743e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,10,6.2500000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,1.8240141826399464e-02,0.0000000000000000e+00,True,SP+ (compact QR),1.8240141826399464e-02,0.0000000000000000e+00,True
synthetic,structured_low_rank_update,aggregate,N/A,42,10092,50,orthogonal,1.0000000000000004e+00,128,96,16,11,6.8750000000000000e-01,6.0000000000000000e+00,normalized exp(-alpha*i/(R-1)),3.7494099271328354e-16,1.2164403439644761e-02,3.4694469519536142e-18,True,RBLA prefix,4.5906506385487927e-01,4.4690066041523452e-01,True
