rank,linear_layers_replaced,embedding_layers_replaced,total_layers_replaced,base_parameters,lora_parameters,total_parameters,base_weight_size_mb_fp32,lora_adapter_size_mb_fp32,total_weight_size_mb_fp32,trainable_parameters_lora_only,increase_vs_rank_1,lora_percent_of_total
85,146,3,149,355361794,42439990,397801784,1421.447176,169.75996,1591.207136,42439990,41940696,10.668627
86,146,3,149,355361794,42939284,398301078,1421.447176,171.757136,1593.204312,42939284,42439990,10.78061
87,146,3,149,355361794,43438578,398800372,1421.447176,173.754312,1595.201488,43438578,42939284,10.892311
88,146,3,149,355361794,43937872,399299666,1421.447176,175.751488,1597.198664,43937872,43438578,11.003734
89,146,3,149,355361794,44437166,399798960,1421.447176,177.748664,1599.19584,44437166,43937872,11.114878
90,146,3,149,355361794,44936460,400298254,1421.447176,179.74584,1601.193016,44936460,44437166,11.225745
91,146,3,149,355361794,45435754,400797548,1421.447176,181.743016,1603.190192,45435754,44936460,11.336335
92,146,3,149,355361794,45935048,401296842,1421.447176,183.740192,1605.187368,45935048,45435754,11.446651
93,146,3,149,355361794,46434342,401796136,1421.447176,185.737368,1607.184544,46434342,45935048,11.556692
94,146,3,149,355361794,46933636,402295430,1421.447176,187.734544,1609.18172,46933636,46434342,11.66646
95,146,3,149,355361794,47432930,402794724,1421.447176,189.73172,1611.178896,47432930,46933636,11.775956
96,146,3,149,355361794,47932224,403294018,1421.447176,191.728896,1613.176072,47932224,47432930,11.885181
97,146,3,149,355361794,48431518,403793312,1421.447176,193.726072,1615.173248,48431518,47932224,11.994136
98,146,3,149,355361794,48930812,404292606,1421.447176,195.723248,1617.170424,48930812,48431518,12.102821
99,146,3,149,355361794,49430106,404791900,1421.447176,197.720424,1619.1676,49430106,48930812,12.211239
100,146,3,149,355361794,49929400,405291194,1421.447176,199.7176,1621.164776,49929400,49430106,12.319389
