round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
139,0.5454999804496765,1.9058082103729248,10,0.0001,10,1
140,0.5401999950408936,1.9456270933151245,10,0.0001,10,1
141,0.5392000079154968,1.9037446975708008,10,0.0001,10,1
142,0.5404000282287598,1.9164382219314575,10,0.0001,10,1
143,0.5396000146865845,1.911673665046692,10,0.0001,10,1
144,0.538100004196167,1.8647818565368652,10,0.0001,10,1
145,0.5404000282287598,1.910396933555603,10,0.0001,10,1
146,0.5386999845504761,1.9190330505371094,10,0.0001,10,1
147,0.5397999882698059,1.9125324487686157,10,0.0001,10,1
148,0.5400000214576721,1.891677737236023,10,0.0001,10,1
149,0.5425999760627747,1.908751368522644,10,0.0001,10,1
150,0.5473999977111816,1.8925124406814575,10,0.0001,10,1
151,0.5407999753952026,1.915317416191101,10,0.0001,10,1
152,0.5432999730110168,1.8830710649490356,10,0.0001,10,1
153,0.5428000092506409,1.8602873086929321,10,0.0001,10,1
154,0.536899983882904,1.928094744682312,10,0.0001,10,1
155,0.5382999777793884,1.9473506212234497,10,0.0001,10,1
156,0.5443000197410583,1.9296547174453735,10,0.0001,10,1
157,0.5367000102996826,2.0145678520202637,10,0.0001,10,1
158,0.5404000282287598,1.9516950845718384,10,0.0001,10,1
159,0.5425000190734863,1.9696576595306396,10,0.0001,10,1
160,0.538100004196167,1.9259929656982422,10,0.0001,10,1
161,0.5454999804496765,1.8944755792617798,10,0.0001,10,1
162,0.5410000085830688,1.9505774974822998,10,0.0001,10,1
163,0.5414000153541565,1.962073802947998,10,0.0001,10,1
164,0.5400000214576721,1.9724966287612915,10,0.0001,10,1
165,0.5396999716758728,2.0084095001220703,10,0.0001,10,1
166,0.5429999828338623,1.9822503328323364,10,0.0001,10,1
167,0.5386000275611877,1.9448802471160889,10,0.0001,10,1
168,0.5393000245094299,1.9448013305664062,10,0.0001,10,1
169,0.5378999710083008,1.9844294786453247,10,0.0001,10,1
170,0.5414999723434448,1.952246904373169,10,0.0001,10,1
171,0.5503000020980835,1.9057722091674805,10,0.0001,10,1
172,0.5450999736785889,1.9250226020812988,10,0.0001,10,1
173,0.5410000085830688,1.9784445762634277,10,0.0001,10,1
174,0.5386000275611877,1.9924763441085815,10,0.0001,10,1
175,0.5426999926567078,1.9641615152359009,10,0.0001,10,1
176,0.5407000184059143,1.9487056732177734,10,0.0001,10,1
177,0.5408999919891357,1.9642423391342163,10,0.0001,10,1
178,0.544700026512146,1.9562294483184814,10,0.0001,10,1
179,0.5411999821662903,2.0293495655059814,10,0.0001,10,1
180,0.5400000214576721,1.9842780828475952,10,0.0001,10,1
