round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
90,0.9438999891281128,0.24031564593315125,10,0.01,10,1
91,0.9440000057220459,0.24046611785888672,10,0.01,10,1
92,0.9440000057220459,0.2407805472612381,10,0.01,10,1
93,0.944100022315979,0.24079348146915436,10,0.01,10,1
94,0.944100022315979,0.24076563119888306,10,0.01,10,1
95,0.9444000124931335,0.2410658746957779,10,0.01,10,1
96,0.9448000192642212,0.24123208224773407,10,0.01,10,1
97,0.9449999928474426,0.24156442284584045,10,0.01,10,1
98,0.9451000094413757,0.24178645014762878,10,0.01,10,1
99,0.9451000094413757,0.24209009110927582,10,0.01,10,1
100,0.9452999830245972,0.24221277236938477,10,0.01,10,1
101,0.9452000260353088,0.24242258071899414,10,0.01,10,1
