condition,alpha,rho,round,rank_ratio,client_index,weight,raw_residual,optimal_residual,spmi_abs,spmi_rel,layer_ranks,raw_loss,raw_accuracy,plus_loss,plus_accuracy
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.9,0,0.11116666666666666,0.00045686441454014036,4.742673578038031e-09,0.04351016280006425,0.9999896190785995,"{""_fc1.lora_A"": 144, ""_fc2.lora_A"": 144, ""_fc3.lora_A"": 10}",2.265886962890625,0.1745,2.2658709564208985,0.1745
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,1.0,1,0.12138333333333333,0.0,0.0,0.0,0.0,"{""_fc1.lora_A"": 160, ""_fc2.lora_A"": 160, ""_fc3.lora_A"": 10}",2.2658883361816406,0.1745,2.265888366699219,0.1745
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.6,2,0.06723333333333334,0.0011862308383351061,1.7004942715932462e-07,0.11295743790498142,0.9998566472716238,"{""_fc1.lora_A"": 96, ""_fc2.lora_A"": 96, ""_fc3.lora_A"": 10}",2.2658707733154295,0.175,2.2657838134765624,0.1755
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.3,3,0.1356,0.002013359128320717,2.5393454165638186e-06,0.19150540418306736,0.9987387518794613,"{""_fc1.lora_A"": 48, ""_fc2.lora_A"": 48, ""_fc3.lora_A"": 10}",2.265840774536133,0.175,2.2655228424072265,0.177
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.4,4,0.09725,0.0016544340118150932,1.0036644950970404e-06,0.15746853579028974,0.999393348729578,"{""_fc1.lora_A"": 64, ""_fc2.lora_A"": 64, ""_fc3.lora_A"": 10}",2.26585041809082,0.1745,2.265653305053711,0.176
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.2,5,0.056216666666666665,0.0024570155511969994,7.141837037141049e-06,0.23331979315921575,0.9970932878167329,"{""_fc1.lora_A"": 32, ""_fc2.lora_A"": 32, ""_fc3.lora_A"": 10}",2.265827621459961,0.1755,2.2652628173828124,0.177
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.1,6,0.0609,0.0029716194227752844,2.8415622474420233e-05,0.28030330622454547,0.9904376643063256,"{""_fc1.lora_A"": 16, ""_fc2.lora_A"": 16, ""_fc3.lora_A"": 10}",2.265832382202148,0.175,2.264490463256836,0.179
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.8,7,0.0881,0.0007081130241658384,2.119536908818015e-08,0.06743687973698069,0.9999700678163445,"{""_fc1.lora_A"": 128, ""_fc2.lora_A"": 128, ""_fc3.lora_A"": 10}",2.265881790161133,0.175,2.2658491821289064,0.1745
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.7,8,0.15123333333333333,0.0009682973387928806,6.4263517586868e-08,0.09221207589086448,0.9999336324546063,"{""_fc1.lora_A"": 112, ""_fc2.lora_A"": 112, ""_fc3.lora_A"": 10}",2.2658765563964844,0.175,2.2658211212158204,0.1745
mnist_dirichlet_0_8_rho_pos05,0.8,0.5,5,0.5,9,0.11091666666666666,0.001441542980589104,4.119188204491132e-07,0.13724968732214538,0.9997142514472369,"{""_fc1.lora_A"": 80, ""_fc2.lora_A"": 80, ""_fc3.lora_A"": 10}",2.2658646545410157,0.175,2.2657315521240236,0.1755
