family,dataset,method,method_variant,rank_assignment,alpha,runs,completed_runs,mean_peak_accuracy,min_peak_accuracy,max_peak_accuracy,mean_final_accuracy
mnist_family,mnist,sp,standard,medium,0.1,3,3,0.423833333333,0.2831,0.5798,0.423833333333
mnist_family,mnist,sp,standard,medium,0.4,3,3,0.517666666667,0.2407,0.6687,0.517666666667
mnist_family,mnist,sp,standard,medium,0.8,3,3,0.163666666667,0.1148,0.2059,0.162833333333
mnist_family,mnist,sp,standard,mismatch,0.1,3,3,0.2836,0.2556,0.3228,0.280666666667
mnist_family,mnist,sp,standard,mismatch,0.4,3,3,0.390333333333,0.1784,0.5543,0.375366666667
mnist_family,mnist,sp,standard,mismatch,0.8,3,3,0.194133333333,0.1409,0.2385,0.1914
mnist_family,mnist,zeropadding,standard,correct,0.1,3,3,0.677433333333,0.6389,0.7144,0.677333333333
mnist_family,mnist,zeropadding,standard,correct,0.4,3,3,0.791766666667,0.7531,0.8144,0.791333333333
mnist_family,mnist,zeropadding,standard,correct,0.8,3,3,0.806166666667,0.7874,0.8275,0.806166666667
mnist_family,mnist,zeropadding,standard,medium,0.1,3,3,0.6534,0.6258,0.6906,0.6534
mnist_family,mnist,zeropadding,standard,medium,0.4,3,3,0.7775,0.7339,0.8018,0.7775
mnist_family,mnist,zeropadding,standard,medium,0.8,3,3,0.800966666667,0.7831,0.8204,0.800966666667
mnist_family,mnist,zeropadding,standard,mismatch,0.1,3,3,0.548466666667,0.4711,0.6045,0.545966666667
mnist_family,mnist,zeropadding,standard,mismatch,0.4,3,3,0.739,0.717,0.7664,0.7388
mnist_family,mnist,zeropadding,standard,mismatch,0.8,3,3,0.789466666667,0.7586,0.8162,0.789466666667
mnist_family,qmnist,flora,corrected,correct,0.4,1,1,0.460233333333,0.460233333333,0.460233333333,0.460233333333
mnist_family,qmnist,flora,corrected,medium,0.4,1,1,0.4723,0.4723,0.4723,0.468466666667
mnist_family,qmnist,flora,corrected,mismatch,0.4,1,1,0.4671,0.4671,0.4671,0.462466666667
mnist_family,qmnist,flora,unspecified,correct,0.1,3,3,0.0874,0.08685,0.0882833333333,0.0874
mnist_family,qmnist,flora,unspecified,correct,0.4,4,4,0.0944333333333,0.0916833333333,0.0965333333333,0.0944333333333
mnist_family,qmnist,flora,unspecified,correct,0.8,3,3,0.0898055555556,0.0894,0.0901166666667,0.0898055555556
mnist_family,qmnist,flora,unspecified,medium,0.1,3,3,0.0884611111111,0.0866833333333,0.0908666666667,0.0884611111111
mnist_family,qmnist,flora,unspecified,medium,0.4,4,4,0.0944166666667,0.0895,0.09765,0.0944166666667
mnist_family,qmnist,flora,unspecified,medium,0.8,3,3,0.0878444444444,0.0869333333333,0.0884166666667,0.0878444444444
mnist_family,qmnist,flora,unspecified,mismatch,0.1,3,3,0.0891222222222,0.0875166666667,0.0909333333333,0.0891222222222
mnist_family,qmnist,flora,unspecified,mismatch,0.4,4,4,0.0936708333333,0.0924666666667,0.0948833333333,0.0936708333333
mnist_family,qmnist,flora,unspecified,mismatch,0.8,3,3,0.0898555555555,0.08775,0.0913833333333,0.0898555555555
mnist_family,qmnist,rbla,standard,correct,0.1,3,3,0.608666666667,0.564866666667,0.64275,0.60745
mnist_family,qmnist,rbla,standard,correct,0.4,3,3,0.792888888889,0.7552,0.813066666667,0.792433333333
