dataset,model,layer_or_aggregate,seed,round,R,r,normalized_rank,sp_plus_dense_difference,gap,analytic_optimal_error,experiment_type,checkpoint,d_out,d_in,spectrum,method,relative_error,numerical_checks_passed
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,3,3.7500000000000000e-01,1.1093836501458590e-15,6.9097905856638109e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.7980466716998991e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,3,3.7500000000000000e-01,1.1093836501458590e-15,6.9097905856638109e-01,1.7980466716998986e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.7980466716998994e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,4,5.0000000000000000e-01,1.1554081785745720e-15,5.3165233653644051e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,6.3283181648387687e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,4,5.0000000000000000e-01,1.1554081785745720e-15,5.3165233653644051e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.0117947994743642e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,4,5.0000000000000000e-01,1.1554081785745720e-15,5.3165233653644051e-01,1.0117947994743640e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.0117947994743641e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,5,6.2500000000000000e-01,1.1844580850242869e-15,5.5646557172429323e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,6.1296217333819158e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,5,6.2500000000000000e-01,1.1844580850242869e-15,5.5646557172429323e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6496601613898349e-02,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,5,6.2500000000000000e-01,1.1844580850242869e-15,5.5646557172429323e-01,5.6496601613898349e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6496601613898356e-02,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,6,7.5000000000000000e-01,1.1688717443804743e-15,5.2271869502401980e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,5.5346011633422065e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,6,7.5000000000000000e-01,1.1688717443804743e-15,5.2271869502401980e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),3.0741421310200863e-02,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,6,7.5000000000000000e-01,1.1688717443804743e-15,5.2271869502401980e-01,3.0741421310200863e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,3.0741421310200859e-02,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,7,8.7500000000000000e-01,1.1728640911692766e-15,3.7524241463482677e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,3.9035882432640734e-01,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,7,8.7500000000000000e-01,1.1728640911692766e-15,3.7524241463482677e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),1.5116409691580566e-02,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,7,8.7500000000000000e-01,1.1728640911692766e-15,3.7524241463482677e-01,1.5116409691580564e-02,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,1.5116409691580566e-02,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,8,1.0000000000000000e+00,1.1736343995052534e-15,-8.2538305089498800e-16,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,0.0000000000000000e+00,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,8,1.0000000000000000e+00,1.1736343995052534e-15,-8.2538305089498800e-16,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),8.2538305089498800e-16,True
synthetic,synthetic_low_rank_update,aggregate,45,-1,8,8,1.0000000000000000e+00,1.1736343995052534e-15,-8.2538305089498800e-16,0.0000000000000000e+00,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,6.6742422929238293e-16,True
synthetic,synthetic_low_rank_update,aggregate,46,-1,8,1,1.2500000000000000e-01,1.6928042835329355e-15,4.0270086548533723e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),RBLA index prefix,9.6735446311186568e-01,True
synthetic,synthetic_low_rank_update,aggregate,46,-1,8,1,1.2500000000000000e-01,1.6928042835329355e-15,4.0270086548533723e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),SP+ (compact QR),5.6465359762652845e-01,True
synthetic,synthetic_low_rank_update,aggregate,46,-1,8,1,1.2500000000000000e-01,1.6928042835329355e-15,4.0270086548533723e-01,5.6465359762652845e-01,structured_synthetic_rotation,N/A,128,96,exp(-4*i/(R-1)),Dense truncated SVD,5.6465359762652845e-01,True
