dataset,model,layer,checkpoint,seed,trial,d_out,d_in,R,r,alpha,target_condition_number,actual_condition_number,condition_relative_error,smallest_gauge_singular_value,b_gauge_frobenius_norm,a_gauge_frobenius_norm,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,compact_full_reconstruction_error,compact_path_no_dense_intermediate,gauge_construction,method,broadcast_error,excess_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,1.9999999999999993e+00,3.3306690738754696e-16,7.0710678118654757e-01,1.7049962950273039e+00,1.7186160308041545e+00,3.4051427091858406e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.0133825055022193e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,5.7700768927701140e-01,4.5938799893286675e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,1.9999999999999993e+00,3.3306690738754696e-16,7.0710678118654757e-01,1.7049962950273039e+00,1.7186160308041545e+00,3.4051427091858406e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.0133825055022193e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414463e-01,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,3.0000000000000000e+00,2.9999999999999996e+00,1.4802973661668753e-16,5.7735026918962595e-01,1.8054896463257399e+00,1.8215674070567840e+00,3.6326269670586005e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.0473251291638280e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,5.9668479282894427e-01,4.7906510248479961e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,3.0000000000000000e+00,2.9999999999999996e+00,1.4802973661668753e-16,5.7735026918962595e-01,1.8054896463257399e+00,1.8215674070567840e+00,3.6326269670586005e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.0473251291638280e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,5.0000000000000000e+00,5.0000000000000027e+00,5.3290705182007512e-16,4.4721359549995776e-01,2.0092084956977621e+00,2.0178284289343282e+00,3.8799755681971045e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.3445883095757166e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,6.4463592082814913e-01,5.2701623048400448e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,5.0000000000000000e+00,5.0000000000000027e+00,5.3290705182007512e-16,4.4721359549995776e-01,2.0092084956977621e+00,2.0178284289343282e+00,3.8799755681971045e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.3445883095757166e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414463e-01,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,7.5000000000000000e+00,7.4999999999999973e+00,3.5527136788005011e-16,3.6514837167011083e-01,2.2397782840455203e+00,2.2312144451739901e+00,4.4096614893438844e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.2033852293694444e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,7.1301178916682995e-01,5.9539209882268529e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,7.5000000000000000e+00,7.4999999999999973e+00,3.5527136788005011e-16,3.6514837167011083e-01,2.2397782840455203e+00,2.2312144451739901e+00,4.4096614893438844e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.2033852293694444e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414463e-01,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000005e+01,5.3290705182007512e-16,3.1622776601683783e-01,2.4452952293996000e+00,2.4170585333224364e+00,5.0308845476348070e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.2410084210340358e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,7.8681253033566789e-01,6.6919283999152324e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,2,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000005e+01,5.3290705182007512e-16,3.1622776601683783e-01,2.4452952293996000e+00,2.4170585333224364e+00,5.0308845476348070e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.2410084210340358e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,3,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000007e+00,6.6613381477509392e-16,9.9999999999999956e-01,1.6457339059369434e+00,1.6457339059369438e+00,3.4731498973975317e-16,1.1761969034414466e-01,4.1633363423443370e-17,9.6138397218858723e-16,True,Q_left D(kappa) Q_right^T,RBLA prefix,5.7469875235263845e-01,4.5707906200849380e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,3,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000007e+00,6.6613381477509392e-16,9.9999999999999956e-01,1.6457339059369434e+00,1.6457339059369438e+00,3.4731498973975317e-16,1.1761969034414466e-01,4.1633363423443370e-17,9.6138397218858723e-16,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,3,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,8.1649658092772570e-01,1.6704844296746704e+00,1.6714151362726246e+00,3.3724998437660332e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.5942391371605360e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,5.8002804899425231e-01,4.6240835865010765e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,3,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,8.1649658092772570e-01,1.6704844296746704e+00,1.6714151362726246e+00,3.3724998437660332e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.5942391371605360e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,3,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,1.9999999999999998e+00,1.1102230246251565e-16,7.0710678118654746e-01,1.7192989240249157e+00,1.7199272501331289e+00,3.4992595025383649e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.5051229212348053e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,5.9101290325578804e-01,4.7339321291164338e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,3,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,1.9999999999999998e+00,1.1102230246251565e-16,7.0710678118654746e-01,1.7192989240249157e+00,1.7199272501331289e+00,3.4992595025383649e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.5051229212348053e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,3,128,96,16,8,4.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,5.7735026918962562e-01,1.8336794788289399e+00,1.8313044825490024e+00,3.8276603120949927e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.4934943591028691e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,6.2008921819358598e-01,5.0246952784944132e-01,True
